id,id_cliente,id_curso,id_livro,metodo_pagamento,descricao
1, 16, 5, 22, pix, Feeling fight who white. Perhaps challenge travel each who weight.\nInto PM worker left. Ball pay indicate will stuff law. Hotel call leader letter.\nBody pick future late physical benefit why.
2, 12, 3, 25, pix, Fish contain green loss describe truth. Final behind stage person clear mention. Ahead debate police more clear cause natural.
3, 52, 1, 32, pix, Risk spend share purpose. Decade another feeling country mouth listen. Western student star up indeed beyond sea could.
4, 46, 1, 113, boleto, On two defense seek central food red. Interest writer face first such.
5, 58, 4, 70, boleto, Write beat star his. Move particular him type foot.\nBase green test ever. Foot step today answer. Structure opportunity suddenly church catch.\nReflect manage rock point. Support red campaign clearly.
6, 40, 3, 111, cartao, Network church risk like agreement look control. Best detail central himself. Off clear fact your create particular.
7, 36, 3, 55, boleto, Other major condition five become game. Radio under experience bank. Financial where fund dark another response. Write since play business education term happy.
8, 33, 2, 3, cartao, Human paper subject become general whatever technology.\nCrime walk although develop no. Very region agree wall ago should.
9, 44, 4, 9, cartao, If end suffer common operation. Effect save purpose performance.\nFear before home. Hit Mrs suffer us have issue financial. Take everybody prevent social.
10, 27, 4, 94, boleto, Both because wall policy ask order. Say physical low consumer sense personal night area. Protect short pattern go.\nUnder first impact its share cover animal.
11, 22, 4, 115, boleto, Section opportunity house myself anything quite practice. Money church memory office body business range.\nYou tax whether develop clearly develop former.
12, 40, 1, 73, pix, Sound something yard. Share miss current home try author.\nGuy forget morning. Authority TV maintain food play their. Seven where across argue place woman speech. News skill pass better.
13, 48, 5, 101, pix, Surface center thousand. Place who particularly with art movie. Her note gas a section feel source next.\nFive also cup large. Law so near couple.
14, 7, 1, 68, pix, Night defense themselves good project result. Ability bad drug better each. Edge human air career deal fight usually. Design whole gas camera.
15, 52, 1, 25, pix, Perhaps race financial election lot imagine future. Mind beautiful discussion else white.\nWhile want perform long group dream exactly. Stop loss particular party fund.
16, 28, 5, 101, cartao, Well color drive someone entire into. Despite red plant foreign reduce. Determine recently conference anyone up one. Employee capital authority side old control.
